,time,location_cluster,precipitation_diff,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
195,1965-07-31,2,-0.8624426466672774,1965,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
196,1965-07-31,1,0.3592606225850683,1965,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
197,1965-07-31,0,-3.1621106614965595,1965,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
198,1965-10-31,2,0.11041190622382935,1965,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
199,1965-10-31,1,-0.3663311925593222,1965,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
200,1965-10-31,0,1.037693780208524,1965,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
201,1966-01-31,2,2.6610412301796167,1966,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
202,1966-01-31,1,0.5362989906295614,1966,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
203,1966-01-31,0,8.99596423848703,1966,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
204,1966-04-30,1,-0.4026366588310466,1966,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
205,1966-04-30,0,-5.380223424503769,1966,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
206,1966-04-30,2,-2.1094244449608146,1966,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
207,1966-07-31,0,-4.315939313711361,1966,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
208,1966-07-31,1,-0.19587381824995864,1966,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
209,1966-07-31,2,-0.40595030830748025,1966,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
210,1966-10-31,0,1.1928355467940606,1966,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
211,1966-10-31,1,-0.10468330942054338,1966,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
212,1966-10-31,2,-0.05593535334545274,1966,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
213,1967-01-31,1,1.8096484498031362,1967,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
214,1967-01-31,2,3.957422836844594,1967,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
215,1967-01-31,0,10.581521921526,1967,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
216,1967-04-30,2,-2.6901557313510853,1967,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
217,1967-04-30,0,-6.6103868823110306,1967,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
218,1967-04-30,1,-1.197827618277944,1967,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
219,1967-07-31,2,-1.492853498002128,1967,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
220,1967-07-31,0,-5.89119177282654,1967,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
221,1967-07-31,1,-0.2884579703126272,1967,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
222,1967-10-31,2,1.0420480723987235,1967,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
223,1967-10-31,1,-0.23048846387432842,1967,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
224,1967-10-31,0,3.8671928773438715,1967,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
225,1968-01-31,1,0.37094740342734744,1968,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
226,1968-01-31,2,1.5855978609390928,1968,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
227,1968-01-31,0,4.6821929136970715,1968,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
228,1968-04-30,1,-0.00379286629922182,1968,4,30,18,1,121,2,Spring,-0.4999999999999998,0.6234898018587336
229,1968-04-30,2,-1.2553397825076567,1968,4,30,18,1,121,2,Spring,-0.4999999999999998,0.6234898018587336
230,1968-04-30,0,-2.312767540326413,1968,4,30,18,1,121,2,Spring,-0.4999999999999998,0.6234898018587336
231,1968-07-31,2,-1.0695744512876186,1968,7,31,31,2,213,3,Summer,-0.8660254037844388,-0.22252093395631434
232,1968-07-31,0,-4.823905564920413,1968,7,31,31,2,213,3,Summer,-0.8660254037844388,-0.22252093395631434
233,1968-07-31,1,-0.31993231317743265,1968,7,31,31,2,213,3,Summer,-0.8660254037844388,-0.22252093395631434
234,1968-10-31,0,3.134395157936644,1968,10,31,44,3,305,4,Fall,0.5000000000000001,-0.900968867902419
235,1968-10-31,1,0.4334943713455337,1968,10,31,44,3,305,4,Fall,0.5000000000000001,-0.900968867902419
