,time,precipitation_diff,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
304,1978-10-31,0.24977187774235596,1,1978,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
305,1979-01-31,0.5217391410767552,1,1979,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
306,1979-04-30,0.6318490861666105,1,1979,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
307,1979-07-31,0.24488728309487118,1,1979,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
308,1979-10-31,0.4439747799347868,1,1979,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
309,1980-01-31,0.635842738027214,1,1980,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
310,1980-04-30,0.5416872520597629,1,1980,4,30,18,2,121,2,Spring,-0.4999999999999998,-0.22252093395631434
311,1980-07-31,0.5343934608792353,1,1980,7,31,31,3,213,3,Summer,-0.8660254037844388,-0.900968867902419
312,1980-10-31,0.3052334998000935,1,1980,10,31,44,4,305,4,Fall,0.5000000000000001,-0.9009688679024191
313,1981-01-31,0.6143988298089256,1,1981,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
314,1981-04-30,0.6064225385421059,1,1981,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
315,1981-07-31,0.45475041005966393,1,1981,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
316,1981-10-31,0.25448202321998736,1,1981,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
317,1982-01-31,1.0601315215305973,1,1982,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
318,1982-04-30,0.6435566747059586,1,1982,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
319,1982-07-31,0.5261943181341797,1,1982,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
320,1982-10-31,0.46490875783541863,1,1982,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
321,1983-01-31,0.7181293726611284,1,1983,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
322,1983-04-30,0.9768622729920584,1,1983,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
323,1983-07-31,0.4517176667157355,1,1983,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
324,1983-10-31,0.34570585688355143,1,1983,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
325,1984-01-31,1.0353730725203463,1,1984,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
326,1984-04-30,0.7189574888448738,1,1984,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
327,1984-07-31,0.4371443998430502,1,1984,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
328,1984-10-31,0.40201288945992913,1,1984,10,31,44,2,305,4,Fall,0.5000000000000001,-0.22252093395631434
329,1985-01-31,0.6368357607603905,1,1985,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
330,1985-04-30,0.4123873005788176,1,1985,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
331,1985-07-31,0.31352657583400695,1,1985,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
332,1985-10-31,0.39456522370870084,1,1985,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
333,1986-01-31,0.579200224680961,1,1986,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
334,1986-04-30,0.8094881532559003,1,1986,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
335,1986-07-31,0.27304079990895985,1,1986,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
336,1986-10-31,0.32392646793737984,1,1986,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
337,1987-01-31,0.4851851927049526,1,1987,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
338,1987-04-30,0.5195034080422575,1,1987,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
339,1987-07-31,0.5087359176655722,1,1987,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
340,1987-10-31,0.033306495683948584,1,1987,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
341,1988-01-31,0.6292404825846658,1,1988,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
342,1988-04-30,0.4726886233358308,1,1988,4,30,17,5,121,2,Spring,-0.4999999999999998,-0.2225209339563146
343,1988-07-31,0.33607086018567695,1,1988,7,31,30,6,213,3,Summer,-0.8660254037844388,0.6234898018587334
344,1988-10-31,0.07941492371085153,1,1988,10,31,44,0,305,4,Fall,0.5000000000000001,1.0
345,1989-01-31,0.8443236853907378,1,1989,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
346,1989-04-30,0.6828963925850376,1,1989,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
347,1989-07-31,0.32681160084243366,1,1989,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
348,1989-10-31,0.38303811831566764,1,1989,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
349,1990-01-31,0.4153784293245466,1,1990,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
350,1990-04-30,0.5475932962325347,1,1990,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
351,1990-07-31,0.3585077871988921,1,1990,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
352,1990-10-31,0.283628561069576,1,1990,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
353,1991-01-31,0.4302603399578004,1,1991,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
354,1991-04-30,0.6018587975334007,1,1991,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
355,1991-07-31,0.6092861086386093,1,1991,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
356,1991-10-31,0.20742083060936586,1,1991,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
357,1992-01-31,0.5305824030812588,1,1992,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
358,1992-04-30,0.4469135878109392,1,1992,4,30,18,3,121,2,Spring,-0.4999999999999998,-0.900968867902419
359,1992-07-31,0.4312265242089508,1,1992,7,31,31,4,213,3,Summer,-0.8660254037844388,-0.9009688679024191
360,1992-10-31,0.27312131561798814,1,1992,10,31,44,5,305,4,Fall,0.5000000000000001,-0.2225209339563146
361,1993-01-31,0.8962157962396861,1,1993,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
362,1993-04-30,0.799750324029138,1,1993,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
